indicator,unit,time,regioncode,regionname,numvalue
Notification rate ,N/1000000,1999-01-01,AT,Austria,250549.28999999998
Notification rate ,N/1000000,1999-01-01,DK,Denmark,188197.14
Notification rate ,N/1000000,1999-01-01,EL,Greece,1581723.75
Notification rate ,N/1000000,1999-01-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-01-01,IE,Ireland,1875666.8599999999
Notification rate ,N/1000000,1999-01-01,IT,Italy,2038338.01
Notification rate ,N/1000000,1999-01-01,NL,Netherlands,63450.87000000001
Notification rate ,N/1000000,1999-01-01,NO,Norway,0.0
Notification rate ,N/1000000,1999-01-01,SE,Sweden,112939.18999999999
Notification rate ,N/1000000,1999-02-01,AT,Austria,375823.94
Notification rate ,N/1000000,1999-02-01,DK,Denmark,0.0
Notification rate ,N/1000000,1999-02-01,EL,Greece,1767808.9
Notification rate ,N/1000000,1999-02-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-02-01,IE,Ireland,4287238.55
Notification rate ,N/1000000,1999-02-01,IT,Italy,3707666.55
Notification rate ,N/1000000,1999-02-01,NL,Netherlands,63450.87000000001
Notification rate ,N/1000000,1999-02-01,NO,Norway,0.0
Notification rate ,N/1000000,1999-02-01,SE,Sweden,0.0
Notification rate ,N/1000000,1999-02-01,UK,United Kingdom,119495.35
Notification rate ,N/1000000,1999-03-01,AT,Austria,501098.59
Notification rate ,N/1000000,1999-03-01,DK,Denmark,0.0
Notification rate ,N/1000000,1999-03-01,EL,Greece,651298.01
Notification rate ,N/1000000,1999-03-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-03-01,IE,Ireland,3483381.32
Notification rate ,N/1000000,1999-03-01,IT,Italy,11773159.19
Notification rate ,N/1000000,1999-03-01,NL,Netherlands,0.0
Notification rate ,N/1000000,1999-03-01,NO,Norway,0.0
Notification rate ,N/1000000,1999-03-01,SE,Sweden,112939.18999999999
Notification rate ,N/1000000,1999-03-01,UK,United Kingdom,204849.16999999998
Notification rate ,N/1000000,1999-04-01,AT,Austria,501098.59
Notification rate ,N/1000000,1999-04-01,DK,Denmark,0.0
Notification rate ,N/1000000,1999-04-01,EL,Greece,744340.59
Notification rate ,N/1000000,1999-04-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-04-01,IE,Ireland,2411571.68
Notification rate ,N/1000000,1999-04-01,IT,Italy,8785939.69
Notification rate ,N/1000000,1999-04-01,NL,Netherlands,253803.48000000004
Notification rate ,N/1000000,1999-04-01,SE,Sweden,0.0
Notification rate ,N/1000000,1999-04-01,UK,United Kingdom,102424.58
Notification rate ,N/1000000,1999-05-01,AT,Austria,250549.28999999998
Notification rate ,N/1000000,1999-05-01,DK,Denmark,188197.14
Notification rate ,N/1000000,1999-05-01,EL,Greece,372170.29000000004
Notification rate ,N/1000000,1999-05-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-05-01,IE,Ireland,4555190.96
Notification rate ,N/1000000,1999-05-01,IT,Italy,8575077.139999999
Notification rate ,N/1000000,1999-05-01,NL,Netherlands,63450.87000000001
Notification rate ,N/1000000,1999-05-01,NO,Norway,0.0
Notification rate ,N/1000000,1999-05-01,SE,Sweden,225878.39
Notification rate ,N/1000000,1999-05-01,UK,United Kingdom,102424.58
Notification rate ,N/1000000,1999-06-01,AT,Austria,250549.28999999998
Notification rate ,N/1000000,1999-06-01,DK,Denmark,564591.4199999999
Notification rate ,N/1000000,1999-06-01,EL,Greece,93042.57
Notification rate ,N/1000000,1999-06-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-06-01,IE,Ireland,2679524.0900000003
Notification rate ,N/1000000,1999-06-01,IT,Italy,9418527.35
Notification rate ,N/1000000,1999-06-01,NL,Netherlands,3616699.63
Notification rate ,N/1000000,1999-06-01,NO,Norway,0.0
Notification rate ,N/1000000,1999-06-01,SE,Sweden,112939.18999999999
Notification rate ,N/1000000,1999-06-01,UK,United Kingdom,153636.87
Notification rate ,N/1000000,1999-07-01,AT,Austria,0.0
Notification rate ,N/1000000,1999-07-01,DK,Denmark,188197.14
Notification rate ,N/1000000,1999-07-01,EL,Greece,0.0
Notification rate ,N/1000000,1999-07-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-07-01,IE,Ireland,2411571.68
Notification rate ,N/1000000,1999-07-01,NL,Netherlands,8375514.94
Notification rate ,N/1000000,1999-07-01,NO,Norway,224955.22
Notification rate ,N/1000000,1999-07-01,SE,Sweden,0.0
Notification rate ,N/1000000,1999-07-01,UK,United Kingdom,273132.23
Notification rate ,N/1000000,1999-08-01,AT,Austria,0.0
Notification rate ,N/1000000,1999-08-01,DK,Denmark,0.0
Notification rate ,N/1000000,1999-08-01,EL,Greece,186085.14
Notification rate ,N/1000000,1999-08-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-08-01,IE,Ireland,4019286.14
Notification rate ,N/1000000,1999-08-01,IT,Italy,984025.24
Notification rate ,N/1000000,1999-08-01,NL,Netherlands,6408537.94
Notification rate ,N/1000000,1999-08-01,NO,Norway,0.0
Notification rate ,N/1000000,1999-08-01,SE,Sweden,0.0
Notification rate ,N/1000000,1999-08-01,UK,United Kingdom,102424.58
Notification rate ,N/1000000,1999-09-01,AT,Austria,0.0
Notification rate ,N/1000000,1999-09-01,DK,Denmark,0.0
Notification rate ,N/1000000,1999-09-01,EL,Greece,0.0
Notification rate ,N/1000000,1999-09-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-09-01,IE,Ireland,2679524.0900000003
Notification rate ,N/1000000,1999-09-01,IT,Italy,896165.84
Notification rate ,N/1000000,1999-09-01,NL,Netherlands,21763648.669999998
Notification rate ,N/1000000,1999-09-01,NO,Norway,0.0
Notification rate ,N/1000000,1999-09-01,SE,Sweden,112939.18999999999
Notification rate ,N/1000000,1999-09-01,UK,United Kingdom,102424.58
Notification rate ,N/1000000,1999-10-01,AT,Austria,501098.59
Notification rate ,N/1000000,1999-10-01,DK,Denmark,0.0
Notification rate ,N/1000000,1999-10-01,EL,Greece,744340.59
Notification rate ,N/1000000,1999-10-01,IE,Ireland,4823143.37
Notification rate ,N/1000000,1999-10-01,IT,Italy,562300.1399999999
Notification rate ,N/1000000,1999-10-01,NL,Netherlands,42194829.07
Notification rate ,N/1000000,1999-10-01,NO,Norway,224955.22
Notification rate ,N/1000000,1999-10-01,SE,Sweden,0.0
Notification rate ,N/1000000,1999-10-01,UK,United Kingdom,34141.520000000004
Notification rate ,N/1000000,1999-11-01,AT,Austria,125274.64
Notification rate ,N/1000000,1999-11-01,DK,Denmark,0.0
Notification rate ,N/1000000,1999-11-01,EL,Greece,186085.14
Notification rate ,N/1000000,1999-11-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-11-01,IE,Ireland,3215428.91
Notification rate ,N/1000000,1999-11-01,IT,Italy,632587.6499999999
Notification rate ,N/1000000,1999-11-01,NL,Netherlands,72841599.65
Notification rate ,N/1000000,1999-11-01,NO,Norway,0.0
Notification rate ,N/1000000,1999-11-01,SE,Sweden,0.0
Notification rate ,N/1000000,1999-11-01,UK,United Kingdom,136566.11
Notification rate ,N/1000000,1999-12-01,AT,Austria,0.0
Notification rate ,N/1000000,1999-12-01,DK,Denmark,0.0
Notification rate ,N/1000000,1999-12-01,EL,Greece,0.0
Notification rate ,N/1000000,1999-12-01,FI,Finland,0.0
Notification rate ,N/1000000,1999-12-01,IE,Ireland,2947476.5
Notification rate ,N/1000000,1999-12-01,IT,Italy,632587.6499999999
Notification rate ,N/1000000,1999-12-01,NL,Netherlands,38260875.08
Notification rate ,N/1000000,1999-12-01,NO,Norway,224955.22
Notification rate ,N/1000000,1999-12-01,SE,Sweden,1694087.9200000002
Notification rate ,N/1000000,1999-12-01,UK,United Kingdom,563335.22
Notification rate ,N/1000000,2000-01-01,DK,Denmark,187616.55
Notification rate ,N/1000000,2000-01-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-01-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-01-01,IE,Ireland,5559136.63
Notification rate ,N/1000000,2000-01-01,IT,Italy,948641.1900000001
Notification rate ,N/1000000,2000-01-01,NL,Netherlands,12796308.610000001
Notification rate ,N/1000000,2000-01-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-01-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-01-01,SE,Sweden,3498308.28
Notification rate ,N/1000000,2000-01-01,UK,United Kingdom,170110.71
Notification rate ,N/1000000,2000-02-01,DK,Denmark,0.0
Notification rate ,N/1000000,2000-02-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-02-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-02-01,IE,Ireland,21442384.18
Notification rate ,N/1000000,2000-02-01,IT,Italy,1844580.0999999999
Notification rate ,N/1000000,2000-02-01,NL,Netherlands,3593052.17
Notification rate ,N/1000000,2000-02-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-02-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-02-01,SE,Sweden,2595519.0500000003
Notification rate ,N/1000000,2000-02-01,UK,United Kingdom,578376.4099999999
Notification rate ,N/1000000,2000-03-01,DK,Denmark,187616.55
Notification rate ,N/1000000,2000-03-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-03-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-03-01,IE,Ireland,35737306.96
Notification rate ,N/1000000,2000-03-01,IT,Italy,3021597.88
Notification rate ,N/1000000,2000-03-01,NL,Netherlands,3719124.1700000004
Notification rate ,N/1000000,2000-03-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-03-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-03-01,SE,Sweden,338545.95999999996
Notification rate ,N/1000000,2000-03-01,UK,United Kingdom,119077.48999999999
Notification rate ,N/1000000,2000-04-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-04-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-04-01,IE,Ireland,123359889.24
Notification rate ,N/1000000,2000-04-01,IT,Italy,3127002.46
Notification rate ,N/1000000,2000-04-01,NL,Netherlands,252144.00999999998
Notification rate ,N/1000000,2000-04-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-04-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-04-01,SE,Sweden,0.0
Notification rate ,N/1000000,2000-04-01,UK,United Kingdom,340221.42
Notification rate ,N/1000000,2000-05-01,DK,Denmark,0.0
Notification rate ,N/1000000,2000-05-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-05-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-05-01,IE,Ireland,79680958.5
Notification rate ,N/1000000,2000-05-01,IT,Italy,5656712.319999999
Notification rate ,N/1000000,2000-05-01,NL,Netherlands,63035.99999999999
Notification rate ,N/1000000,2000-05-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-05-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-05-01,SE,Sweden,0.0
Notification rate ,N/1000000,2000-05-01,UK,United Kingdom,357232.49
Notification rate ,N/1000000,2000-06-01,DK,Denmark,0.0
